가새벌거지,집게벌레,,
가새지다,가위 모양으로 갈라지다,,
가새춤,가위춤,,
가생이,가장자리,,
가생이,가,,
가생이,개,,
가생이,가지,,
가석,가,,
가성,가,,
가세,가위<DR /> 제주 지역에서는 세’로도 적는다.,,
가세기,가위,,
가세끼,가위,,
가세다,가시다,,
가센물,간조,,
가수어,가숭어,,
가숩다,가소롭다,,
가스나그,계집아이,,
가스나기,계집아이,,
가스나이,계집아이,,
가스낭텡이,계집아이,,
가스내,계집아이,,
가슬,가을<DR /> 제주 지역에서는 슬’로도 적는다.,,
가슬매기,껄떼기,,
가슬하다,가을하다<DR /> 제주 지역에서는 슬다’로도 적는다.,,
가슴,감,,
가슴,감<DR /> 제주 지역에서는 슴’으로도 적는다.,,
가슴배기,가슴패기,,
가슴뱅이,가슴패기,,
가슴벵이,가슴패기,,
가슴아피,가슴앓이,,
가슴아피허다,가슴앓이하다,,
가슴애피,가슴앓이,,
가슴애피허다,가슴앓이하다,,
가승아,계집,,
가시,가,,
가시,가위,,
가시가재미,가시가자미,,
가시괴기,가시고기,,
가시나,계집아이,,
가시나그,계집아이,,
가시낙,계집아이,,
가시낙년,계집년,,
가시낙재이,계집아이,,
가시낭탱이,계집애,,
가시내,계집아이,,
가시내기,계집아이,,
가시다,근대다,,
가시덤풀,가시덤불,,
가시덩쿨,가시덩굴,,
가시덩클,가시덩굴,,
가시라구,가시랭이,,
가시랑풀,가시랭이,,
가시마,계집아이,,
가시마데기,가슴패기,,
가시보시,가시버시,,
가시아범,가시아비,,
가시아범,가시아버지,,
가시장클,가시덤불,,
가실,가을<DR /> 제주 지역에서는 실’로도 적는다.,,
가실,가을걷이,,
가실가실,가슬가슬,,
가실벳,가을볕,,
가실보리,가을보리,,
가실일허다,가을일하다,,
가실하다,가을하다,,
가실허다,가을하다,,
가심,가슴,,
가심,감<DR /> 제주 지역에서는 심’으로도 적는다.,,
가심둘레,가슴둘레,,
가심등뻬,등뼈,,
가심배기,가슴패기,,
가심뻬,가슴뼈,,
가심속,가슴속,,
가심아데기,가슴패기,,
가심아피,가슴앓이,,
가심아피허다,가슴앓이하다,,
가심앓이,가슴앓이,,
가심애피,가슴앓이,,
가심애피허다,가슴앓이하다,,
가심에피,가슴앓이,,
가심지느러미,가슴지느러미,,
가심지느레미,가슴지느러미,,
가심통,가슴통,,
가심팍,가슴팍,,
가씨아짐씨,처제,,
가씬허다,갈씬하다,,
가얌,개암,,
가얌나무,개암나무,,
가양,가,,
가얼,가을,,
가에,한가위,,
가오,가위,,
가오데,가운데,,
가온데손가락,가운뎃손가락,,
가온데손그락,가운뎃손가락,,
가우,가위,,
가우,채,,
가우,한가위,,
가우리,가오리,,
가우이,가위,,
가운데손고락,가운뎃손가락,,
가운데손구락,가운뎃손가락,,
가운데손그락,가운뎃손가락,,
가운데큰아부지,둘째아버지,,
가웃밥,가윗밥,,
가을버리,가을보리,,
가을추수하다,가을하다,,
가을추수허다,가을하다,,
가이,가위,,
가이,한가위,,
