어휘,뜻풀이
납벌거지,부나비
납지,낙지
낫,낯<DR /> 제주 지역에서는 ’으로도 적는다.
낫,낮
낫공상이,낫공치
낫공새이,낫공치
낫물,냇물
낫봉,낚싯봉
낭구,나무
낭귀,나무
낭그,나무
낭기,나무
낭때기,낭떠러지
낭떠러기,낭떠러지
낭떠러지기,낭떠러지
낭어덕,낭떠러지
낭언덕,낭떠러지
낭으덕,낭떠러지
낭터러지,낭떠러지
낭패괴기,가자미
낭푀괴기,가자미
낮결,낮곁
낮차다,낮추다
낯짝빼기,낯짝
낱,낯
낱다,낮다
내겁다,냅다
내굴다,냅다
내굽다,냅다
내그내,나그네
내급다,냅다
내까랑,개울
내꼰지다,내버리다
내꼽다,아니꼽다
내년보살허다,내전보살 노릇을 하다
내다,"쌀, 콩, 팥 따위의 곡식을 팔다"
내대니다,나다니다
내동,지금껏
내둘거리다,내두르다
내둘르다,내두르다
내부리다,내버리다
내사춘,내종사촌
내에간,내외간
내에하다,내외하다
내오간,내외간
내오이간,내외간
내우간,내외간
내우이,내의
내우이간,내외간
내우지간,내외지간
내웁다,냅다
내웨간,내외간
내웨이간,내외간
내웨지간,내외지간
내위,내의
내이,냉이
내종사춘,내종사촌
내중,지금껏
낸님,대님
냄,남
냄기다,남기다
냄저지,나머지
냄편,남편
냅대,냅다
냅대다,나대다
냇가랑,내
냇갈,냇가
냇같,냇가
냇걸,내
냇골,냇가
냇내,내
냉갈내,내
냘,내일
냘,내일
너레미,지느러미
너름하다,널찍하다
너리너리,주절주절
너리먹다,잇몸이 헐어서 헤어지다
너머,너무
너무끄럽다,남부끄럽다
너무새,남새
너물,나물
너벅다리,넓적다리
너벅지,넓적다리
너을,너울
너을,노을
너푸데기,너부죽이
넉,넋
넉넥이,넉넉히
넉넥히,넉넉히
넉더딤이하다,넉더듬이하다
넉동무이,넉동무니
넉동사니,석동사니
넌덜,벌판
넌덜미,넌더리
넌덜씨름,판씨름
널,늘
널개미,날개
널검지,날개
널게미,지느러미
널러가다,날아가다
널룹다,너르다
널룹다,넓다
널르다,너르다
널벅,너부죽이
널븜하다,널찍하다
널하다,널찍하다
넓죽다리,넓적다리
넘새,나물
넘키다,넘기다
넙,놉
넙덕지,넓적다리
넙둑다리,넓적다리
넙저기,넙치
넙죽보리,납작보리
넙치,넓적다리
넛할매,넛할머니
넝떠러지,낭떠러지
넝떠러지기,낭떠러지
넝떠리지기,낭떠러지
넝퀴,넝쿨
넝키,넝쿨
넢다,높다
넢이,높이
넢이다,높이다
네,뇌
네동무니,넉동무니
네랑색,노란색
네랗다,노랗다
네려다보다,내려다보다
네리다보다,내려다보다
네막,뇌막
네미네미,송아지를 부를 때 내는 소리
네미랄,네기
네번째손구락,약손가락
넥이다,녹이다
넴기다,게우다
넾이다,높이다
녈,열
녈,내일
녈,내일
노가리,가리
노고저리,종다리
노고조리,종다리
노구주리,종다리
노깡이,노끈
노깽이,노
노끈내기,노끈
노나각시,노래기
노나다,나누다
노내각시,노래기
노내기,노래기
노너다,나누다
노느다,나누다
노닥노닥,누덕누덕
노당노당,누덕누덕
노도,노두
노두독,노둣돌
노란자,노른자위
노란자우,노른자위
노란재,노른자위
노란젓,노른자위
노랑동태,황태
노랑색,노란색
노랑자,노른자위
노랑자우,노른자위
노랑자위,노른자위
노랑재,노른자위
노래이,노른자위
노랭이,노래기
노렇다,노랗다
노로,노루
노루갈다,갈다
노루발,망치
노룬재,노른자위
노르레기,노래기
노른재,노른자위
노리깨하다,노르께하다
노리끼하다,노르께하다
노린자,노른자위
노린재,노른자위
노린창,노른자위
노박이,한곳에 붙박이로 있는 사람
노배기,비 따위를 맞아 옷이나 몸이 흠뻑 젖은 상태
노울,노을
노이죽,담뱃대
노줏돌,노둣돌
노타리치다,논을 다듬다
노푸다,높다
노푸단하다,높다랗다
녹마,녹말
녹자근하다,녹지근하다
논나끈,노내끈
논내기,노래기
논내끼,노
논달뱅이,논다랑이
논두덕,논두렁
논두럭,논두렁
논드랑,논두렁
논올갱이,논우렁이
논올뱅이,논우렁이
녾다,나누다
놀개이,노루
놀구녁,놀구멍
놀구녕,놀구멍
놀래끼다,놀래다
놀래키다,놀래다
놀리,노을
놀엄감,노리개
놋그럭,놋그릇
농구인장,농기구
농기연장,농기구
농물,노을
농아리,노을
농오리,놀
농우소,농우
농울,노을
농을,노을
농이소,농우
농토배기,농투성이
농투배기,농지거리
농투사니,농투성이
농투사이,농투성이
농투산이,농투성이
농투새이,농투성이
농투싱이,농지거리
놓다,넣다
놜쏸하다,보동되다
놰성,뇌성
뇌,누에
뇌,뉘
뇌끈,노끈
뇌내기,노래기
뇌놈,되놈
뇌리끼하다,노르께하다
뇌작거리다,노닥거리다
뇍이다,녹이다
뇍히다,녹이다
뇦이,높이
뇦이다,높이다
누기,누구
누꼽,눈곱
누런자,노른자위
누렁겡이,누룽지
누렁지,누룽지
누렁태,황태
누레기,누더기
누루스름하다,누르스름하다
누룩나무,느릅나무
누룸지,누룽지
누룽개,누룽지
누룽갱기,누룽지
누룽기,누룽지
누룽깨,누룽지
누룽캥이,누룽지
누뤼,우박
누르미,인절미를 납작하게 눌러 구운 음식
누르미,빈대떡
누르미,누룽지
누륵,누룩
누름,누룽지
누름지,누룽지
누릉개,누룽지
누릉갱이,누룽지
누리,가리
누리미,부침개
누린자,노른자위
누링기,누룽지
누링이,누룽지
누마치,류머티즘
누마티,류머티즘
누부,누비
누빈이불,누비이불
누야,누나
누야야,누나
누에꼬치,누에고치
누에나뱅이,누에나방
누에세비,누에섶
누여,누에
누예꼬추,누에고치
누예꼬치,누에고치
누예나방,누에나방
누예나뱅이,누에나방
누예나비,누에나방
누옝,누에
누웨,뉘
누의,누이
누이,뉘
누이,시누이
누이야,누나
누지다,눅다
누키다,뉘다
눈가시,눈자위
눈가재이,눈가
눈가주,눈자위
눈각비,진눈깨비
눈곱재기,눈곱
눈그석,눈구석
눈까뽈,눈꺼풀
눈깜다,눈감다
눈깝질,눈꺼풀
눈껍,눈곱
눈꼬불,눈꺼풀
눈끕,눈곱
눈다라끼,다래끼
눈다락지,다래끼
눈다랏,다래끼
눈다래끼,다래끼
눈대접,다래끼
눈더버리,눈두덩
눈데이,눈두덩
눈뎅,눈두덩
눈뎅이,눈두덩
눈두던,눈두덩
눈두덩이,눈두덩
눈두뎅이,눈두덩
눈두둑,눈두덩
눈두딩이,눈두덩
눈두렁,눈두덩
눈두버리,눈두덩
눈둑,눈두덩
눈둥,눈두덩
눈디,인두
눈떠버리,눈두덩
눈뚜겁,눈두덩
눈뚜벌,눈두덩
눈뚜벵이,눈두덩
눈마울,눈망울
눈망둥이,눈깔
눈부셔,눈부처
눈붐베,눈보라
눈뿔,눈꼬리
눈사례,눈시울
눈시음,눈시울
눈심부름,남의 부탁으로 대신 가 보고 와서 실상을 전해주는 일
눈쑵,눈썹
눈어덕,눈두덩
눈자국,눈자위
눈자오,눈자위
눈자우,눈자위
눈자우이,눈자위
눈자욱,눈자위
눈주접,눈병
눈쭈그름살,눈주름
눈초리주룸,눈주름
눈촐,속눈썹
눈추리,눈초리
눈타리,송사리
눈터기,눈퉁이
눈텅이,눈퉁이
눈텡이,눈두덩
눈튀이,눈퉁이
눈튕이,눈퉁이
눈팅이,눈퉁이
눈팔잇거리,눈요깃거리
눌따,눋다
눌른국수,틀국수
눍다,묽다
눕지다,뉘다
눗다,눕다
눙개,누룽지
눙갱이,누룽지
눙거리,누룽지
눙구리,능구렁이
눙에,누에
눙에꼬치,누에고치
눙예,누에
눙지,누룽지
눙캥이,누룽지
눠,누에
눼,누에
눼,뉘
눼다,뉘다
뉘,누에
뉘,누이
뉘기,누구
뉘기다,찌다
뉘꼬추,누에고치
뉘꼬치,누에고치
뉘나,누나
뉘낱,뉘
뉘누리,너울
뉘님,누님
뉘디기,누더기
뉘비다,누비다
뉘비이불,누비이불
뉘여,누에
뉘여끼리하다,누리끼리하다
뉘예,누에
뉘예꼬추,누에고치
뉘예꼬치,누에고치
뉘예꼬치나비,누에나방
뉘이,뉘
뉩히다,눕히다
느,너희
느,네
느그작거리다,꾸물거리다
느다,넣다
느닷읎이,느닷없이
느런하다,줄느런하다
느른니,늙은이
느릇느릇,느릿느릿
느리느리,느릿느릿
느슨거리다,느실거리다
느이님,누님
느저지,싹수
느적거리다,끈질기다
느트나무,느티나무
느희,너희
늑,넉
늑동무이,넉동무니
늑동사이,넉동사니
늑직하다,느직하다
는실이,느림뱅이
늘궇다,늘리다
늘그작거리다,꾸물거리다
늘근말랑,늘그막
늘다,널다
늘뛰기,널뛰기
늘마루,널마루
늘빤대기,널판때기
늘쓰레,번지
늘앉다,늘어앉다
늘쪼가리,널쪽
늘찍하다,널찍하다
늙은니,늙은이
늙쟁이,늙은이
늙징이,늙은이
늙처녀,노처녀
늛히다,넓히다
늠,놈
늣,느치
늣늣하다,느끼하다
능,벼랑
능구러이,능구렁이
능구레이,능구렁이
능구링이,능구렁이
능그링이,느끼하다
능에,누에
능예,누에
능질능질하다,느글느글하다
늦처녀,노처녀
늫다,넣다
니,누구
니,뉘
니끼다,느끼다
니눈백이,네눈박이
니동상,누이동생
니동생,누이동생
니리다보다,내려다보다
니리오다,내려오다
니마치,류머티즘
니비다,누비다
니아까,리어카
니알,내일
니야,누나
니야까,리어카
니얼,내일
니얼,내일
니열,내일
니열,내일
닛,넷
닛째손고락,약손가락
다갈,재갈
다갈리다,어렵거나 불편한 관계로 마주 대하다
다갱이,대가리
다귀미돌,다듬잇돌
다깔,달걀
다념,대님
다다미돌,다듬잇돌
다다미질,다듬이질
다다분하다,다닥다닥하다
다대미돌,다듬잇돌
다들보,대들보
다듬독,다듬잇돌
다듬돌,다듬잇돌
다듬이,다듬잇돌
다듬이독,다듬잇돌
다듬잇독,다듬잇돌
다디미,다듬이
다디미독,다듬잇돌
다디미돌,다듬잇돌
다디미질,다듬이질
다디밋돌,다듬잇돌
다디밋방맹이,다듬잇방망이
다딤잇방맹이,다듬잇방망이
다따부따,따따부따
다라,다래끼
다라끼,다래끼
다라미,두름
다라미,두름
다라시,다래끼
다라지,다래끼
다라찌,다래끼
다라치,다래끼
다락,다래끼
다락구멍,까치구멍
다락지,다래끼
다래,다리
다래,다래끼
다래미,다람쥐
다래미,다래끼
다래미,다리미
다래이,다리
다럼쥐,다람쥐
다레,다래끼<DR /> 제주 지역에서는 레’로도 적는다.
다레,다래<DR /> 제주 지역에서는 레’로도 적는다.
다루,다리
다룻쇠,다리쇠
다르미,다리미
다름지,다람쥐
다리끼,광주리
다리끼,다래끼
다리다,당기다
다리비,다리미
다리젖개다,가부좌하다
다릿쇠,다리쇠
다마내기,양파
다먼,다만
다물,담불
다바리,똬리
다벌,다발
다서,다섯
다서여섯,대여섯
다스,다섯
다슬개,다슬기
다식틀,다식판
다실개,다슬기
다실갱이,다슬기
다실기,다슬기
다야,타이어
다이구,대고
다자꾸,자꾸
닥다구리,딱따구리
닥둥어리,닭둥우리
닥알,달걀
닥재기,꼬마달재
닥해,닭의홰
단가,담가
단가리,볏가리
단님,대님
단도렁,괭이상어
단우,단오
단초,단추
달,닭
달걸,달걀
달게둥주리,어리
달결,달걀
달구뱅이,달구지풀
달그리,달거리
달근거리다,답작거리다
달기개비,달개비
달기다,달래다
달기둥어리,닭둥우리
달기둥어리,어리
달기똥,닭똥
달기알,달걀
달기장,닭장
달기장다리,닭의장풀
달기질,무덤을 만들 때 흙을 단단히 다지는 일
달기집,닭의장
달기툉,닭의장
달기호,무덤을 만들 때 흙을 단단히 다지는 일
달농을,달무리
달다,배다
달다,다르다
달달봉사,당달봉사
달달하다,달다
달래끼,다래끼
달랭이,달래
달렁,달래
달렁개,달래
달레이,달래
달롱개,달래
달롱게,달래
달롱이,달래
달룹다,다르다
달룽,달래
달룽개,달래
달름박질,달음박질
달릅다,다르다
달리,달래<DR /> 제주 지역에서는 리’로도 적는다.
달리,다리
달리다,당기다
달링개,달래
달마루,달무리
달마리,달무리
달머심,달머슴
달무,달무리
달무네,달무리
달무니,달무리
달무다,닮다
달무랭이,달무리
달무루,달무리
달무지,달무리
달물,달무리
달뱅이,달팽이
달뱅이,다랑이
달브다,다르다
달비,다리
달싸하다,달착지근하다
달싹하다,반반하다
달싹허다,반반하다
달쌍하다,보름달처럼 둥글고 환하다
달암박질,달음박질
달어매다,매달다
달작지근하다,달짝지근하다
달챙이,모지랑숟가락
달쿠,자꾸
달파이,달팽이
달페이,달팽이
달핑이,달팽이
닭동가리,닭둥우리
닭둥어리,어리
닭에둥주리,닭둥우리
닯다,다르다
닳다,달다
담구다,담그다
담그다,잠그다
담둑,담
담묘,담요
담방중우,잠방이
담배고가리,담배통
담배꼬바리,담배통
담배꼭대기,담배통
담배꼭지,담배통
담배쌈,담배쌈지
담배학,대통
담뱃가리,담배를 쌓아 놓은 더미
담뱃주머이,담배쌈지
담벗대,담뱃대
담보,담비
담부,담비
담부락,담벼락
담붓대,담뱃대
담비락,담벼락
담뺏대,담뱃대
담쭉,담
답답선,답답이
답살이,머슴살이
당가루,등겨
당가루등기,등겨
당가루딩기,등겨
당개다,당기다
당갬기,당감이
당그래,고무래
당기,댕기
당나기,당나귀
당내기,당나귀
당달보살,당달봉사
당막질,달음박질
당벌,땅벌
당성낭,성냥
당성냥,성냥
닼,닭
대간하다,고단하다
대갈,대가리
대갈,대머리
대감지,대가리
대갱이,대가리
대고,대구
대골패기,대갈빼기
대공,대
대공,대궁
대근하다,고단하다
대깍,재깍
대꼬바리,담배통
대꼭지,담배통
대꾸,자꾸
대니다,다니다
대다,되다
대돋움,상가에서 장사 지내기 전날 밤에 요령잡이와 상두꾼들이 상여를 메고 마당을 돌면서 노는 일
대드미돌,다듬잇돌
대디미돌,다듬잇돌
대딤질,다듬이질
대떠리,상가에서 장사 지내기 전날 밤에 요령잡이와 상두꾼들이 상여를 메고 마당을 돌면서 노는 일
대뜨리,상가에서 장사 지내기 전날 밤에 요령잡이와 상두꾼들이 상여를 메고 마당을 돌면서 노는 일
대래끼,다래끼
대래키,다래끼
대레,대례
대리다,달이다
대리다,당기다
대리미,다리미
대린님,도련님
대림하다,겨냥하다
대매디,대의 마디
대무하다,크다
대미,도미
대바구리,대바구니
대비나,외양간 칸살을 고정하기 위해 꽂는 나무 막대
대비나목,외양간 칸살을 고정하기 위해 꽂는 나무 막대
대설깡,담배설대
대설대,담배설대
대설랭이,대바구니
대소쿠대미,대소쿠리
대수쿠리,대소쿠리
대숫대,세숫대야
대슴매끼,대님
대실보,대들보
대암,다음
대여,대야
대염,대님
대와,대하
대이,댕기
대이,대
대이구,자꾸
대이꾸,자꾸
대자구,큰자귀
대잡,대접
대장꾼,대장장이
대장실하다,담차다
대접,눈 아래쪽에 나는 다래끼
대접,다래끼
대정,대장장이
대정간,대장간
대지머리,돼지머리
대쪼각,댓조각
대처벌,도회지
대체,상여의 덮개를 조립하지 않은 상여의 틀
대하,대야
대화,대하
댄장,된장
댈구,자꾸
댈이다,달이다
댐,다음
댐뱃대,담뱃대
댐비,담비
댓마루,용마루
댓매디,대의 마디
댓비,대비
댕개이,줄거리
댕기다,당기다
댕댕이넝쿨,담쟁이
더구냐,더구나
더더지,두더지
더득,더덕
더듬바리,뒤틈바리
더듬뱅이,말더듬이
더릅다,더럽다
더우,더위
더우,더욱
더움,덤
더웁다,덥다
더음,덤
더음받이,덤받이
더푼더푼,서푼서푼
덕살머리,덕
덕석말이,멍석말이
덜,들
덜,질
덜더리,말더듬이
덜덜,질. 덜’보다 강조의 뜻이 있다
덜링이,덜렁이
덜퍽시다,덜퍽지다
덤부렁,덤불
덤부레기,덤불
덤부리,덤불
덤부링이,덤불
덤부사리,덤불
덤부사리,여러 개의 덤불이 어수선하게 엉켜 있는 수풀
덤부서리,덤불
덤불,덩굴
덤불딸,줄딸기
덤붕대다,덤벙대다
덤뿌사리,가시덤불
덤푸서리,덤불
덤하다,덧붙이다
덥새,도리어
덥치,덫
덥치기,덫
덧발,설피
덩그마니,덩그러니
덩꿀,덩굴
덩시렇다,둥그스름한 것이 높이 솟은 상태에 있다
덩얼덩얼,올막졸막
데,되
데,되
데늠,되놈
데다,되다
데따,도리어
데떼,도리어
데렌님,도련님
데련님,도련님
데루,도리어
데리싸웃,데릴사위
데리싸위,데릴사위
데린님,도련님
데미,더미
데미,도미
데박,됫박
데부,둑
데야지,돼지
데임,대님
덴님,대님
덴마,전마선
델다,데리다
뎁다,도리어
뎁세,도리어
뎃둑,둑
뎅그마니,덩그러니
뎅기다,동이다
뎅이다,동이다
뎌지다,뒈지다
도고,도구
도고치,도끼
도고통,절구통
도곳대,절굿공이
도구끼,도급기
도구때,절굿공이
도구땡이,절굿공이
도구질,절구질
도구텅이,절구통
도구통,절구통
도구통,절구
도굽,도급기
도굿굉이,절굿공이
도굿대,절굿공이
도굿대통,절구통
도굿댕이,절굿공이
도그끼,도급기
도그치,도끼
도극기,탈곡기
도급,도급기
도급그네,그네
도기,도끼
도기쪼기,돌쩌귀
도기통,절구통
도까비,도깨비
도깨,뚜껑
도깨비까시,도깨비바늘
도깨비풀,도깨비바늘
도깨비풀,도꼬마리
도꼬머리,도꼬마리
도꼬파리,소꿉질
도꾀비바늘,도깨비바늘
도꾸,도끼
도꾸마리,도꼬마리
도꿉장난,소꿉장난
도데미,도드미
도독,도둑
도독고냬이,도둑고양이
도독고얭이,도둑고양이
도독고이,도둑고양이
도독괭이,도둑고양이
도독놈,학질
도독놈까시,도깨비바늘
도독놈풀,도깨비바늘
도돔놈,학질
도둑고얭이,도둑고양이
도둑고이,도둑고양이
도둑놈,말라리아
도둑놈풀,도깨비바늘
도둑눔풀,도깨비바늘
도둑쾡이,살쾡이
도디미,도드미
도랑구리,반짇고리
도랑이,도랑
도래멍석,짚방석
도래이,도롱이
도래지,도라지
도랭이,도롱이
도렝이,두렁이
도려,도리어
도로깨,도리깨
도로박,두레박
도로이,도롱이
도로캐,도리깨
도로혀,도리어
도롱이,두렁이
도롱테,굴렁쇠
도루,도로
도루깨날,도리깻열
도루깨장치,도리깻장부
도루채,도리깨
도루캐,도리깨
도르깨,도리깨
도르채,도리깨
도르캐,도리깨
도릉기,호롱기
도릉테,굴렁쇠
도리,도롱이
도리개,도리깨
도리깨바람,회오리바람
도리깨이,도리깨
도리깨장치,도리깻장부
도리깻장치,도리깻장부
도리끼,도리깨
도리여,도리어
도리채,도리깨
도리캐,도리깨
도리통,굴렁쇠
도리혀,도리어
도린님,도련님
도링이,도롱이
도링캐,도리깨
도마배암,도마뱀
도마뱜,도마뱀
도마판,도마
도매배암,도마뱀
도매뱀,도마뱀
도맷집,잡화상
도방골,반짇고리
도뱅이,꾸리어 싼 무명을 세는 단위
도솔박,도시락
도스르다,사물의 끝을 가지런히 다듬다
도스리다,사물의 끝을 가지런히 다듬다
도슬리다,사물의 끝을 가지런히 다듬다
도슬비,다슬기
도시파다,호리다
도실기,다슬기
도실비,다슬기
도아배암,도마뱀
도아뱀,도마뱀
도아비암,도마뱀
도애배암,도마뱀
도우다,돕다
도움,덤
도장병,버짐
도지,도끼
도쩨구,돌쩌귀
도쪼귀,돌쩌귀
도쪼기,돌쩌귀
도쪽,돌쩌귀
도철,돛
도치,도끼
도키,도끼
도토리낭기,도토리나무
도통,절구통
도투리,도토리
도트리,도토리
도해지,도회지
독,돌
독,도끼
독다리,징검다리
독돌,노둣돌
독막,돌멩이
독매,맷돌
독멩이,돌멩이
독바늘,돗바늘
독배,돌배
독사풀,둑새풀
독새기풀,둑새풀
독새풀,둑새풀
독소리,독수리
독작,자갈
독쪼기,돌쩌귀
돈사다,팔다
돈장,된장
돌가부,모래주사
돌게와,돌기와
돌곳댕이,절굿공이
돌구구리,멀떠구니
돌구땡이,절굿공이
돌구수,돌구유
돌구통,절구통
돌굿대이,메
돌깨,도리깨
돌꼬리,송사리
돌너설,바위너설
돌돌,오래오래
돌딩이,돌덩이
돌량,돌림병
돌림부리,돌림감기
돌마,돌멩이
돌막,돌멩이
돌망,돌멩이
돌매기,돌멩이
돌매방아,연자방아
돌메기,돌멩이
돌메이,돌멩이
돌무디기,돌무더기
돌밍이,돌멩이
돌배,아그배
돌쇠,돌쩌귀
돌아간해,지난해
돌옻,이끼
돌작,자갈
돌작밭,자갈밭
돌재이,돌장이
돌짜구,돌쩌귀
돌짜기,돌쩌귀
돌짝,돌멩이
돌쩌괴,돌쩌귀
돌쩌구이,돌쩌귀
돌쩨기,돌쩌귀
돌쪼구,돌쩌귀
돌쪼구,돌쩌귀
돌쪼귀,돌쩌귀
돌쪼기,돌쩌귀
돌쫄기,돌쩌귀
돌쭈귀,돌쩌귀
돌쭈기,돌쩌귀
돌찌개,돌로 만든 개상
돌찌기,돌쩌귀
돌캐,도리깨
돌팍,돌멩이
돔,덤
돔모,동부
돔부,녹두
돗,덫
동,동정
동가리,동강
동가불,소꿉질
동갑살이,소꿉질
동경,동정
동고리,반짇고리
동고파리,소꿉질
동곱질,소꿉질
동곱질하다,소꿉질하다
동과리,동가리
동구래미,굴렁쇠
동구레,목말
동구레바퀴,굴렁쇠
동구리,반짇고리
동구리,굴렁쇠
동구리,목말
동구리,도막
동구바리,소꿉질
동구파리,소꿉질
동굴쇠,굴렁쇠
동굽쟁이,소꿉질
동굽쟁이하다,소꿉질하다
동굽질하다,소꿉질하다
동그랍다,동그랗다
동그래미,굴렁쇠
동그레멍석,짚방석
동글래미,굴렁쇠
동글리미,굴렁쇠
동글테,굴렁쇠
동글테미,굴렁쇠
동글팽이,굴렁쇠
동기기,동치미
동기다,동이다
동기미,동치미
동냥바가치,동냥아치
동냥바지,동냥아치
동냥박씨,동냥아치
동냥배기,동냥아치
동냥소리,장타령
동니,동네
동다리,목말
동상,동생
동상댁,올케
동상이댁,올케
동생댁,올케
동생이댁,올케
동세,동서
동수간,변소
동숫간,뒷간
동시간,변소
동싯간,뒷간
동아리,똬리
동아배암,도마뱀
동아배얌,도마뱀
동아뱀,도마뱀
동아뱜,도마뱀
동아비암,도마뱀
동애배암,도마뱀
동애뱜,도마뱀
동어,빙어
동오,동이
동오지미,소에게 물을 먹이는 둥글고 배가 부르고 아가리가 넓으며 양옆으로 손잡이가 달려 있는 그릇
동장,동정
동전,동정
동짐치,동치미
동침,동치미
돛,덫
돜,돌
돼다,되다
돼아지,돼지
돼지막,돼지우리
돼지우릿간,돼지우리
돼지울간,돼지우리
돼지집,돼지우리
되기,돌
되꼽치다,되씹다
되러,되레
되렌님,도련님
되려,도리어
되련님,도련님
되루,도로
되루,도리어
되리어,도리어
되린님,도련님
되먹이장수,물건을 사서 곧바로 다른 곳에 넘겨 파는 장사꾼
되미,도미
되배,도배
된깔막,된비알
된님,대님
된님,도련님
될락말락하다,될동말동하다
될랑말랑하다,될동말동하다
됨,두엄
됨박,뒤웅박
됩다,도리어
됩더,도리어
됫놈,되놈
됭여매다,동여매다
됭이,콩이나 팥에 생긴 바구미
됭이다,동이다
두가리,뚝배기
두구통,절구통
두깨,뚜껑
두껑,뚜껑
두껕,뒤꼍
두께,뚜껑
두께비,두꺼비
두꼽다,두껍다
두끼비,두꺼비
두더기,두더지
두더주,두더지
두더쥐,두더지
두덕두덕,누덕누덕
두덜기,두드러기
두동무이,두동무니
두동산,두동사니
두두두두,오래오래
두두레기,두더지
두두레기,두드러기
두두리기,두더지
두두리기,두드러기
두둘기,두드러기
두뒤,두더지
두드레기,두드러기
두드리기,두드러기
두득,두둑
두들기,두더지
두듬발이,뒤뚱발이
두디기,두드러기
두디기,두더지
두디레기,두드러기
두디리기,두더지
두디리기,두드러기
두디리다,두드리다
두딜기,두드러기
두럽다,두렵다
두렁,두렁이
두렁거리,논두렁이나 밭두렁에 심는 농작물을 통틀어 이르는 말
두렁그리,논두렁이나 밭두렁에 심는 농작물을 통틀어 이르는 말
두렁박,두레박
두렁방아,두렁이
두렁방이,두렁이
두렁지,두렁이
두렁치마,두렁이
두렁태,두렁콩
두레미,두름
두레박새암,두레우물
두레박샘,두레우물
두레박샴,두레우물
두레샘,두레우물
두렘박,두레박
두렝이,두렁이
두렝이치매,두렁이
두령이,두렁이
두루,더러
두루막,두루마기
두루매기,두루마기
두루먹이쌀,닭이나 오리 등의 모이로 주는 품질이 낮은 쌀
두루메기쌀,닭이나 오리 등의 모이로 주는 품질이 낮은 쌀
두루멕이하다,닭이나 오리 등의 모이로 쓰다
두루뭉싱이,두루뭉수리
두루미기쌀,닭이나 오리 등의 모이로 주는 품질이 낮은 쌀
두루박,두레박
두루채,도리깨
두루캐,도리깨
두룸매기,두루마기
두룸박,두레박
두룸방,두레박
두룸성,두름성
두르미,두름
두르미,두름
두르박,두레박
두르박샴,두레우물
두름박,두레박
두름박샴,두레우물
두릅,두습
두리,똬리
두리박,두레박
두리백,두레박
두림박,두레박
두릿거리다,두리번거리다
두릿두릿,두리번두리번
두링이,두렁이
두멩이,두멍
두번째가락,집게손가락
두번째손구락,집게손가락
두새두새하다,들썩들썩하다
두시럭,뒤스럭
두안,뒤꼍
두애니,뒤꼍
두엠,두엄
두염,두엄
두우리,둥우리
두을,둘
두저기,두더지
두제,뒤주
두지기,두더지
두지다,뒤지다
두집다,뒤집다
두째손고락,집게손가락
두째손구락,집게손가락
두째아버지,둘째아버지
두째아부지,둘째아버지
두째큰아버지,둘째아버지
두치,도끼
두테,두께
두투래,뚜껑
두투레,뒤트레방석
둑수리,독수리
둔누다,드러눕다
둔덕배기,언덕배기
둔바리,둔한
둔벙,웅덩이
둔부,동부
둔사다,팔다
둘,돌
둘마기,두루마기
둘멩이,돌멩이
둘째손가락,집게손가락
둘째손고락,집게손가락
둘째손구락,집게손가락
둘째아부지,둘째아버지
둘째큰아버지,둘째아버지
둠벙,웅덩이
둣간,뒷간
둥가리,둥우리
둥갑놀이,소꿉놀이
둥갑놀이하다,소꿉놀이하다
둥거리,둥우리
둥게미,둥구미
둥구녁,멱둥구미
둥구니,둥구미
둥구리,둥우리
둥구막,멱둥구미
둥구먹,멱둥구미
둥굴리다,굴리다
둥굴이다,굴리다
둥굴통,탈곡기
둥귀미,둥구미
둥그래미,굴렁쇠
둥그럽다,둥그렇다
둥글너부룩하다,둥글넓적하다
둥글리다,굴리다
둥글어다니다,굴러다니다
둥두리,둥우리
둥아리,둥우리
둥어리,둥우리
둥치,줄기
둼간,두엄간
뒈다,도리어
뒈다,되다
뒈대,도리어
뒈따,도리어
뒈떼,도리어
뒈로,도리어
뒈미,도미
뒈아지,돼지
뒈지,돼지
뒈지우리,돼지우리
뒙다,"일반적인 기준이나 짐작, 기대와는 반대가 되거나 다르게"
뒝,가루좀
뒤깥,뒤꼍
뒤깨,뚜껑
뒤껌치,뒤꿈치
뒤껕,뒤꼍
뒤꾸무리,뒤꿈치
뒤꿈지,뒤꿈치
뒤끄머리,뒤꿈치
뒤나다,뒤내다
뒤듬발이,뒤뚱발이
뒤뚝발이,절름발이
뒤시럭,뒤스럭
뒤옴,두엄
뒤울,뒤꼍
뒤움,두엄
뒤잡다,뒤집다
뒤춤뒤춤,주춤주춤
뒤치락자치락,엎치락뒤치락
뒤컽,뒤꼍
뒨장,된장
뒷구녁,뒷구멍
뒹이,바구미
드난이하다,드난살이하다
드딜방아,디딜방아
드러,더러
드러박,두레박
드러박샘,두레우물
드럽다,더럽다
드럽히다,더럽히다
드루눕다,드러눕다
드리다,심다
드먹드먹,드문드문
드메,두메
드무닥드무득,간간이
드어리,등
드에,등에
드이,등에
드티다,짐짓 어기대는 행동을 하다
든눗다,드러눕다
들꼍,뒤꼍
들꽤,들깨
들뜨리다,곁들이다
들락,오구
들망뻬,등골뼈
들머슴,선머슴
들명날명,들락날락
들명날명하다,들락날락하다
들바가치,들일할 때 사용하는 바가지
들벅거리다,북적거리다
들벅대다,북적대다
들볕,나무말미
들뵊이다,들볶이다
