어휘,뜻풀이
갈키다,가르치다
갈키다,가리키다
갈키다,할퀴다
갈키질,갈퀴질
갈킹이,갈퀴
갉,가을
감,베
감그려뜨리다,내리뜨다
감낭구,감나무
감뭇,가뭇
감뭇하다,가뭇없다
감밥,누룽지
감어지다,감기다
감자,고구마
감자밭콩,강낭콩
감자콩,강낭콩
감추기장난,숨바꼭질
갑,값
갑북갑북,깜빡깜빡
갑시,값
갑자끼,갑자기
갑자키,갑자기
갑작시리,갑작스레
갑재기,갑자기
갑지다,비탈지다
갓,가<DR /> 제주 지역에서는 ’으로도 적는다.
갓,두름
갓,가시
갓난아,갓난아이
갓난애기,갓난아기
갓난재이,갓난쟁이
갓모,갈모
강개,누룽지
강개이,누룽지
강경,강정
강낭이,강냉이
강내이,강냉이
강냉이콩,강낭콩
강냉이튀밥,강냉이
강다리,장다리무
강다리기,줄다리기
강밥,강냉이
강밥,튀밥
강생선,민물고기
강솔불,관솔불
강심살이,고생살이
강아지꽃,나팔꽃
강아치,강아지
강재미,가자미
강정,강냉이
강조롱이,가지런히
강주리,광주리
갖고오다,가져오다
갖구오다,가져오다
개,가
개감,개암
개겁다,가볍다
개고동,다슬기
개고래기,개구리
개고리,개골창
개구락지,개구리
개구랑창,개골창
개구랑칭이,개골창
개구창,개울
개굼나무,개암나무
개굽다,가볍다
개깝다,가볍다
개깟이,깨끗이
개꼴,개
개꼴,수맥
개꼿,개꽃
개나리꼿,나리꽃
개나리꼿,백합
개나리꼿,개나리꽃
개냘프다,가냘프다
개님,대님
개다,가다
개도토리낭구,떡갈나무
개똥받이,구석진 곳에 있는 밭
개똥버러지,반딧불이
개똥버리,반딧불이
개똥벌거지,반딧불이
개똥불,반딧불
개똥불,반딧불이
개뚝배미,개울둑에 붙어 있는 논배미
개락,도랑
개랍다,가렵다
개랑,개울
개랑물,개울물
개래,가래
개래이,가랑이
개럽다,가렵다
개려치다,가리키다
개렵다,가렵다
개롬하다,갸름하다
개롭다,가렵다
개룹다,가렵다
개리다,가르다
개립다,가렵다
개바늘,도깨비바늘
개밥다,가볍다
개밥두디기,땅강아지
개법다,가볍다
개볍다,가볍다
개봅다,가볍다
개붑다,가볍다
개붓다,가볍다
개비,값
개비럼,개비름
개뿔딱지,감기
개살스럽다,독살스럽다
개섀끼,개새끼
개앙,개암
개얌,개암
개양,개암
개염,개암
개오장이,개울
개오쟁이,개울
개오징이,개울
개와주머니,주머니
개와집,기와집
개왓주머니,호주머니
개울창,개골창
개이새끼,개새끼
개좆부리,감기
개주머니,호주머니
개줍다,가깝다
개즌,개전
개집,기와집
개찹다,가깝다
개춥다,가깝다
개탕,개장국
개토시,개차반
개평,덤
개헥,개혁
개화주머니,주머니
갠들거리다,건들거리다
갠물,개울물
갠병,간병
갠수,간수
갠신히,간신히
갠이,공연히
갠지랍히다,간질이다
갠지럽다,가렵다
갠지럽다,간지럽다
갠질갠질,간질간질
갠찮다,괜찮다
갤굽다,가렵다
갤기럽다,가렵다
갬겨지다,감기다
갬기다,감기다
갬기다,감기다
갭,값
갯가지,버들개지
갯벌땅,개펄
갯주머니,호주머니
갯주머니,주머니
갱,개암
갱고랑,개울
갱골,개울
갱골창,개골창
갱구리,개울
갱굴,개울
갱굴채이,개골창
갱굴챙이,개울
갱그찮다,괜찮다
갱매기,꽹과리
갱번,강변
갱벌,강변
갱신히,간신히
갱아지,강아지
갱정,강정
갸,기와
갸날푸다,가냘프다
갸날프다,가냘프다
갸롬하다,갸름하다
갸집,기와집
걀근걀근,자꾸 간사스럽게 아양을 떠는 모양
걀금거리다,조금씩 갉아 먹다
걀상걀상허다,걀쯤걀쯤하다
걀상허다,걀쯤하다
걀쪽하다,갸름하다
걀쭘하다,걀쯤하다
거겁다,가볍다
거관,거간
거관꾼,거간꾼
거널,그늘
거누다,겨누다
거니,그네
거둠그지,가을걷이
거드래,주둥이
거드르다,거들다
거랑,개울
거래이,거지
거랭이,거지
거럭,그릇
거럼재,그리마
거렁,개울
거렁배이,거지
거루다,기르다
거르망이,호주머니
거르매,그리마
거름마,그리마
거름자,그림자
거름장군,똥장군
거름재,그리마
거름탕,거름집
거리,얼마의 가치를 가진 돈이라는 뜻을 더하는 접미사
거림자,그림자
거림재,그림자
거링이,거지
거만이,가만히
거먹창,검은자위
거멍,숯검정
거무자리,거머리
거물개,고무래
거믐께,그믐께
거미,거머리
거법다,가볍다
거빅이,거북이
거세미,거위
거셍이,지렁이
거스랑,지렁이
거스럼돈,거스름돈
거스렁비,가랑비
거스름,거스러미
거슬르다,거스르다
거슬름돈,거스름돈
거슬리다,거스르다
거슬리다,벗기다
거시,거위
거시,가시
거시끼,거시기
거시끼,거시기
거시랑,지렁이
거시럼돈,거스름돈
거시르다,거스르다
거시름돈,거스름돈
거실럼돈,거스름돈
거실른돈,거스름돈
거실름돈,거스름돈
거우,거위
거울러지다,거꾸러지다
거이,게
거이,거위
거이,거의
거지뒷다리,멍청이
거지러히,가지런히
거지런하다,가지런하다
거짓말재이,거짓말쟁이
거츠깽이,겉
거치르다,거칠다
거큼,거품
거킁,거품
거품,하품
거히,거의
걱둑걱둑,엉큼성큼
건거이,건건이
건건이발,맨발
건네다,건너다
건네띠다,건너뛰다
건니다,건너다
건대,근대
건두다,관두다
건드렁거리다,건들거리다
건디,그네
건지,재미
건진,거의
건토,권투
걸꼬리,갈고리
걸뜨다,들뜨다
걸랭이,거룻배
걸루,거루
걸름발이,절름발이
걸목가래,가래떡
걸바이,거지
걸방이,거지
걸엄마,걸음마
걸엄마,걸음마
걸움,걸음
걸칠다,거칠다
걸키다,걸리다
걸터듬다,음식이나 재물 따위를 몹시 탐하다
걸팍지다,실팍지다
검부대기,검불
검부재,검부저기
검부적,검부저기
검북띠기,검불
검불래이,가시랭이
검비검비,곰비임비
검은동자,검은자위<DR /> 제주 지역에서는 검은동’로도 적는다.
검은창,검은자위
검은챙,검은자위
검저리,거머리
검지손고락,집게손가락
겁,겹
겁나게,매우
겁나게,아주
겄,겠
겅건이,건건이
겉다,같다
겉다짐,겉만 번듯하고 속은 부실한 상태를 이르는 말
겉두리,곁두리
게,겨
게,계
게과서,교과서
게기,고기
게냥하다,겨냥하다
게다,괴다
게도실,털실
게둘레하다,흉하다
게드랑,겨드랑
게딱보,거적눈
게란,계란
게랄,계란
게렵다,가렵다
게론,결혼
게롭다,괴롭다
게룹다,가렵다
게름재이,게으름쟁이
게릅다,괴롭다
게버큼,게거품
게비고사리,고비고사리
게상어,별상어
게시다,계시다
게아리띠,허리띠
게어름배이,게으름뱅이
게억질,구역질
게오,거위
게옥질,구역질
게와,기와
게와집,기와집
게우,걸
게우르다,게으르다
게울,거울
게울,겨울
게울루다,게으르다
게울르다,게으르다
게육,교육
게으름디,게으름쟁이
게으름배이,게으름뱅이
게을배기,게으름뱅이
게집애,계집애
게짝,궤짝
게찹다,가깝다
게타리,허리띠
게투룸,트림
게트름,트림
게헥,계획
게혹,계획
게획,계획
게훅,계획
겐이,공연히
겐히,공연히
겔르다,게으르다
겔름배이,게으름뱅이
겔혼,결혼
겔혼식,결혼식
겡영,경영
겡이,절굿공이
겨노리,곁두리
겨드랭이,겨드랑이
겨란,계란
겨랄,계란
겨론,결혼
겨르다,겨루다
겨울살이,겨우살이
겨욹,겨울
겨짝,궤짝
격지다,모지다
겪음하다,경험하다
결띠끈,허리띠
결온식,결혼식
겸,개암
겸,고욤
겸심,점심
겹마음,딴마음
겹방,곁방
겹사둔,겹사돈
경심,점심
경장하다,굉장하다
곁바디,곁꾼
계염,고욤
고고마,고구마
고곰,학질
고곰이,곰곰이
고그마,고구마
고기덩어리,고깃덩어리
고기잽이,고기잡이
고기챙이,창애
고깝다,가파르다
고나이,고양이
고냐이,고양이
고냬이,고양이
고넁이,고양이
고너,고누
고녀,고누
고노,고누
고노고노,섬마섬마
고누고누,섬마섬마
고누밭,고누판
고니,고누
고달푸다,고달프다
고댕이,고둥
고데다,고되다
고뎅이,다슬기
고도래미,고드름
고도머리,곱슬머리
고돈다시,고슴도치
고돌개,고들빼기
고돌배기,고들빼기
고돌뺑이,고들빼기
고동,고둥
고동,다슬기
고두래미,고드름
고두룸,고드름
고두름,고드름
고두머리,곱슬머리
고두어,고등어
고둔도시,고슴도치
고둘개,고들빼기
고둥시,고등어
고둥아,고등어
고둥어,고등어
고둥에,고등어
고드라미,고드름
고드래떡,물기가 말라서 빳빳하게 굳은 떡
고드래미,그을음
고드래미,고드름
고드루미,고드름
고드룸,고드름
고든도시,고슴도치
고든하누,북풍
고든하누,서북풍
고들갱이,고들빼기
고들바귀,고들빼기
고들바위,고들빼기
고들빠구,고들빼기
고들빠귀,고들빼기
고들뺑이,고들빼기
고들삐,고들빼기
고등,다슬기
고등,고둥
고등아,고등어
고디다,고되다
고디름,고드름
고디어,고등어
고딩이,다슬기
고뚜레미,고드름
고라당,골짜기
고라실,고래실
고랑,골짜기
고랑내,고린내
고래,아궁이
고래고래,오래오래
고래구녁,아궁이
고래구녘,아궁이
고래구멍,아궁이
고래기,골마지
고래아궁이,아궁이
고래아귕이,아궁이
고래장하다,가매장하다
고랫구녁,아궁이
고랭이,밭고랑
고럼,고름
고련,푼돈
고로박,두레
고록고록,고로롱고로롱
고롱내,고린내
고루잡다,바로잡다
고루치,골마지
고른내,고린내
고름,개암
고리돈,우수리
고리삭다,케케묵다
고망,구멍
고망쥐,생쥐
고모래,고무래
고모보,고모부
고모보,고모부
고몰개,고무래
고무다락,고미다락
고물개,고무래
고물갱이,고무래
고물래,고무래
고밀개,고무래
고뱅이,고갱이
고부,우엉
고비임비,곰비임비
고빠이,고삐
고뿌리,감기
고삐,고사리
고사리,구더기
고사테,고샅
고상,고생
고상하다,고생하다
고새리,고사리
고소롬하다,고소하다
고손도시,고슴도치
고솝다,고소하다
고순도시,고슴도치
고숨도치,고슴도치
고숩다,고소하다
고스란이,고스란히
고승도치,고슴도치
고시랭,누룽지
고시랭이,누룽지
고심도시,고슴도치
고심도치,고슴도치
고십,보습
고씨네,고수레
고애이,고양이
고야,자두
고야리띠,허리띠
고야이,고양이
고얀이,공연히
고얌,고욤
고얌,고함
고양,고향
고얭이,고양이
고연,궤연
고연이,공연히
고염,고욤
고염낭구,고욤나무
고운딩게,등겨
고운소금,곤소금
고운저,등겨
고윰,고욤
고은게,등겨
고은겨,등겨
고은소금,곤소금
고이,고양이
고이,궤
고이,방앗공이
고이기,고기
고이기덩어리,고깃덩어리
고이명,고명
고인이,공연히
고일,공일
고일날,공일
고임,고욤
고자리,구더기
고자박,고주박
고자배기,그루터기
고잔때기,꼬챙이
고재박,그루터기
고저배기,그루터기
고제이,괭이
고족하다,고적하다
고종사춘,고종사촌
고중사춘,고종사촌
고지먹다,미리 품삯을 받고 모내기에서부터 김매기까지의 일을 하다
고지빼기,고들빼기
고진배기,고정배기
고치자마리,고추잠자리
고쿠락,아궁이
고쿠랑,아궁이
고크락,아궁이
고푸다,고달프다
고풀,감기
곡괘이,곡괭이
곡꽤이,곡괭이
곡석,곡식
곡쾌이,곡괭이
곤구다,겨누다
곤국수,틀국수
곤누,고누
곤대,자루
곤댓질,곤댓짓
곤도박질,곤두박질
곤도박칠,곤두박질
곤두다,관두다
곤두래미,고드름
곤두막,원두막
곤두박히다,곤두박이다
곤두버러지,장구벌레
곤두벌레,장구벌레
곤둘빼기,고들빼기
곤드라미,고드름
곤드래미,고드름
곤또,권투
곤이불,누비이불
곤저구리,색동저고리
곤제,등겨
곤지,고누
곤지리,고누
곤질,고누
곤체,고운체
곤치다,고치다
곤투,권투
곧게,바로
곧바루,곧바로
골,밭이나 논을 갈아 곡식을 심을 수 있게 손질하여 놓은 두둑과 고랑을 통틀어 이르는 말
골괭이,곡괭이
골구루,골고루
골댓짓,곤댓짓
골땡이,골짜기
골러내다,골라내다
골로내다,골라내다
골르다,고르다
골르다,고르다
골르다,골다
